@relation vreme

@attribute opis {hladno,toplo,vetrovno,dezevno,snezi}
@attribute temperatura NUMERIC
@attribute veter {0,5,10,20,50}
@attribute moznost_padavin {0,10,20,30,40,50,60,70,80,90,100}

@data
hladno,20,5,90
hladno,28,50,40
toplo,34,0,20
hladno,17,20,80
vetrovno,15,5,20
vetrovno,20,10,30
toplo,25,50,20
vetrovno,13,20,0
dezevno,1,50,20
dezevno,17,5,20
dezevno,32,0,90
dezevno,23,10,0
hladno,3,50,60
snezi,24,5,60
hladno,11,50,70
toplo,6,20,80
snezi,28,10,90
snezi,25,5,80
dezevno,10,0,80
vetrovno,28,0,10
hladno,16,0,80
vetrovno,34,50,90
vetrovno,18,5,30
hladno,25,5,40
hladno,5,5,80
vetrovno,29,10,0
vetrovno,17,20,70
dezevno,32,50,80
dezevno,22,20,100
snezi,28,5,70
toplo,23,0,40
hladno,31,10,10
toplo,10,0,90
hladno,33,5,40
snezi,27,0,60
toplo,6,10,40
hladno,28,20,50
vetrovno,5,20,100
vetrovno,19,0,70
dezevno,6,50,50
toplo,7,0,0
hladno,19,50,20
hladno,9,0,100
vetrovno,7,20,70
vetrovno,4,0,50
dezevno,23,20,70
snezi,16,5,0
dezevno,29,20,50
snezi,30,10,0
toplo,22,20,0
toplo,21,20,50
hladno,13,50,20
hladno,17,5,0
hladno,0,20,60
toplo,15,5,50
vetrovno,28,5,60
dezevno,30,5,90
hladno,17,50,0
snezi,19,10,80
dezevno,6,20,90
dezevno,21,5,20
dezevno,19,20,50
vetrovno,14,5,50
vetrovno,30,5,50
snezi,22,20,80
dezevno,32,20,100
hladno,13,5,10
vetrovno,25,10,60
toplo,15,0,100
dezevno,7,20,90
hladno,7,0,20
toplo,2,5,100
toplo,20,0,100
vetrovno,29,10,30
toplo,8,10,10
dezevno,17,0,20
vetrovno,9,20,100
snezi,6,20,80
toplo,33,0,40
snezi,24,50,100
hladno,6,20,60
hladno,8,10,20
snezi,30,5,100
toplo,5,5,100
dezevno,12,5,100
snezi,30,20,80
dezevno,9,50,60
dezevno,23,20,20
toplo,3,10,30
toplo,0,5,40
hladno,2,50,50
vetrovno,28,5,20
hladno,24,50,0
dezevno,17,0,70
dezevno,7,20,60
toplo,15,0,50
snezi,5,10,20
snezi,25,50,0
hladno,13,0,40
snezi,16,50,50
snezi,9,10,80
dezevno,18,0,20
toplo,3,0,100
hladno,20,10,0
dezevno,34,0,100
dezevno,8,5,100
vetrovno,21,20,70
hladno,0,5,80
dezevno,26,20,20
snezi,9,0,10
snezi,16,20,10
vetrovno,16,5,30
snezi,33,50,80
toplo,18,0,50
dezevno,22,0,0
dezevno,1,0,90
snezi,4,5,0
hladno,24,0,50
vetrovno,24,10,10
toplo,8,5,100
snezi,12,0,20
snezi,8,5,40
dezevno,7,0,20
vetrovno,23,5,90
toplo,23,5,10
snezi,5,0,90
snezi,34,50,0
toplo,23,5,50
toplo,8,50,90
vetrovno,9,5,100
toplo,6,5,20
dezevno,24,50,100
toplo,10,0,80
vetrovno,22,0,0
hladno,14,0,40
vetrovno,19,50,100
dezevno,7,5,0
dezevno,25,0,100
snezi,21,50,40
toplo,11,10,10
dezevno,8,10,70
dezevno,31,10,20
toplo,29,50,20
toplo,24,20,100
vetrovno,2,0,10
toplo,3,10,90
dezevno,8,5,90
vetrovno,10,5,50
hladno,1,10,0
dezevno,18,0,60
vetrovno,8,20,100
vetrovno,33,10,50
vetrovno,22,5,10
hladno,34,5,50
toplo,25,5,0
toplo,20,20,70
snezi,21,20,70
dezevno,34,20,70
hladno,26,10,90
vetrovno,10,50,10
dezevno,30,10,20
dezevno,34,10,40
toplo,8,10,90
vetrovno,13,20,100
vetrovno,22,10,70
hladno,19,20,90
toplo,15,10,80
toplo,0,50,80
vetrovno,33,5,10
vetrovno,22,20,80
snezi,32,20,100
hladno,5,50,0
snezi,11,50,50
hladno,31,10,0
vetrovno,13,5,90
toplo,30,10,60
vetrovno,2,20,30
hladno,18,0,20
toplo,5,50,100
vetrovno,32,10,50
toplo,2,0,100
dezevno,26,5,30
vetrovno,11,50,40
toplo,28,5,0
toplo,9,20,70
dezevno,18,0,60
vetrovno,15,0,40
dezevno,29,0,80
hladno,11,10,30
snezi,7,5,90
toplo,27,20,50
hladno,24,0,20
hladno,15,20,60
toplo,31,0,90
dezevno,31,50,20
snezi,29,0,90
snezi,31,20,30
vetrovno,32,10,70
snezi,29,5,80
snezi,16,0,80
dezevno,32,20,100
toplo,29,0,60
vetrovno,34,10,40
toplo,1,5,90
dezevno,17,50,10
dezevno,23,10,90
snezi,31,10,10
toplo,1,10,50
snezi,10,50,70
hladno,25,0,0
toplo,25,20,50
dezevno,5,0,60
vetrovno,10,20,70
hladno,11,20,30
dezevno,14,5,20
snezi,32,0,0
hladno,30,10,10
toplo,14,10,10
hladno,11,10,0
toplo,28,10,100
snezi,26,50,60
toplo,11,50,10
snezi,20,20,60
toplo,26,0,100
vetrovno,14,20,70
snezi,31,10,30
dezevno,9,20,40
dezevno,28,5,90
vetrovno,5,20,70
dezevno,20,10,30
snezi,32,20,50
toplo,17,5,30
toplo,28,0,0
dezevno,33,5,20
hladno,7,50,40
toplo,2,0,0
toplo,4,0,30
dezevno,1,10,20
hladno,30,20,40
dezevno,32,10,0
toplo,16,50,20
vetrovno,33,50,80
dezevno,3,20,90
hladno,20,5,20
vetrovno,14,20,70
dezevno,23,5,40
vetrovno,25,20,80
vetrovno,5,5,70
dezevno,18,20,0
snezi,11,5,70
dezevno,21,20,10
snezi,24,50,0
dezevno,5,10,70
snezi,21,5,0
dezevno,15,20,90
vetrovno,29,50,80
toplo,25,0,0
vetrovno,22,20,30
dezevno,26,50,40
hladno,2,0,50
snezi,2,10,60
toplo,0,0,100
vetrovno,29,20,10
snezi,23,10,60
dezevno,22,20,70
dezevno,5,20,100
vetrovno,4,20,90
toplo,6,20,10
vetrovno,21,5,100
vetrovno,23,20,50
toplo,9,10,100
vetrovno,19,20,10
vetrovno,3,10,20
snezi,33,0,10
hladno,11,0,0
hladno,4,0,0
snezi,8,10,80
snezi,16,0,90
vetrovno,22,20,20
dezevno,20,0,30
hladno,6,5,80
toplo,23,20,40
dezevno,24,10,60
hladno,2,10,0
snezi,25,50,70
dezevno,1,0,90
toplo,3,10,10
vetrovno,12,50,100
dezevno,3,10,40
hladno,11,20,50
dezevno,20,0,10
toplo,34,50,10
snezi,2,50,100
dezevno,1,5,70
hladno,15,10,70
snezi,23,0,0
toplo,10,5,80
snezi,16,5,80
snezi,30,20,90
dezevno,33,20,10
vetrovno,33,10,90
dezevno,26,0,70
toplo,13,0,80
snezi,0,5,70
vetrovno,30,50,30
vetrovno,14,50,50
snezi,13,20,20
dezevno,29,20,0
vetrovno,8,20,20
snezi,19,5,40
toplo,9,10,0
vetrovno,24,50,80
hladno,3,5,20
snezi,27,20,70
hladno,33,5,70
hladno,5,20,50
vetrovno,15,10,90
toplo,6,10,60
snezi,26,20,0
snezi,11,0,80
toplo,15,0,100
hladno,8,10,100
hladno,23,50,70
vetrovno,18,5,50
vetrovno,14,5,30
vetrovno,14,50,0
hladno,28,5,0
snezi,20,5,90
toplo,33,20,50
snezi,7,20,20
snezi,19,10,80
hladno,19,20,0
toplo,17,50,100
vetrovno,25,10,80
toplo,7,20,20
dezevno,3,10,0
vetrovno,24,10,60
dezevno,9,10,60
hladno,8,50,50
vetrovno,13,20,70
hladno,5,20,80
snezi,28,50,70
vetrovno,31,50,100
hladno,7,20,50
snezi,14,10,10
snezi,14,5,60
toplo,15,20,50
vetrovno,11,20,0
vetrovno,16,20,40
vetrovno,34,20,10
hladno,27,20,100
vetrovno,0,20,40
snezi,7,10,10
dezevno,1,0,80
hladno,28,10,50
dezevno,14,0,70
snezi,13,5,20
vetrovno,1,0,80
toplo,5,5,40
hladno,10,20,80
vetrovno,11,10,40
toplo,32,5,30
vetrovno,8,20,0
dezevno,5,5,50
hladno,0,5,80
vetrovno,8,10,40
hladno,2,20,40
snezi,2,50,90
toplo,24,0,10
toplo,8,20,0
toplo,5,20,0
dezevno,23,20,40
snezi,12,20,70
snezi,13,0,20
toplo,1,50,10
snezi,24,20,40
snezi,33,10,50
hladno,7,50,30
snezi,13,50,100
toplo,33,5,20
vetrovno,20,20,70
dezevno,10,0,70
vetrovno,18,0,50
toplo,28,10,90
dezevno,14,5,10
vetrovno,28,5,20
toplo,31,5,30
toplo,27,20,20
vetrovno,6,0,40
snezi,27,20,100
vetrovno,32,50,90
vetrovno,18,5,60
toplo,22,0,40
vetrovno,29,0,0
dezevno,12,5,90
toplo,32,50,30
hladno,24,20,0
dezevno,10,20,30
dezevno,34,5,30
dezevno,30,20,100
snezi,18,0,50
hladno,9,5,70
snezi,1,0,30
snezi,25,10,70
hladno,18,50,10
toplo,15,0,0
dezevno,2,50,60
snezi,15,0,20
dezevno,32,5,80
hladno,1,5,40
vetrovno,6,5,90
vetrovno,31,10,50
vetrovno,15,5,60
vetrovno,29,50,100
snezi,24,0,60
hladno,28,5,60
vetrovno,24,10,60
hladno,3,50,0
vetrovno,15,50,80
snezi,25,0,60
snezi,28,0,60
vetrovno,2,10,50
toplo,4,20,80
hladno,29,0,20
vetrovno,9,10,50
toplo,16,5,90
toplo,24,50,40
dezevno,27,10,80
dezevno,16,20,70
hladno,29,5,50
vetrovno,2,20,70
toplo,4,20,20
toplo,17,20,60
dezevno,16,5,10
hladno,8,5,70
dezevno,14,10,30
hladno,26,5,40
hladno,29,10,0
toplo,22,0,10
dezevno,6,0,10
dezevno,7,10,90
toplo,4,10,0
hladno,32,0,10
dezevno,28,20,50
hladno,25,20,10
toplo,33,5,50
snezi,6,50,10
dezevno,28,5,80
hladno,22,0,100
hladno,21,50,60
hladno,14,10,30
vetrovno,9,10,30
dezevno,6,5,20
snezi,34,50,30
toplo,14,0,60
toplo,24,20,80
dezevno,6,5,100
dezevno,26,10,0
vetrovno,25,20,40
snezi,12,10,50
vetrovno,28,20,0
vetrovno,18,50,30
vetrovno,9,10,90
vetrovno,4,0,90
vetrovno,21,5,20
vetrovno,32,0,80
hladno,28,0,10
toplo,28,20,0
toplo,19,5,10
snezi,7,50,40
hladno,25,20,60
snezi,28,20,90
toplo,25,5,60
toplo,19,5,20
dezevno,13,20,100
hladno,7,0,10
toplo,25,50,90
snezi,30,50,50
dezevno,9,20,40
vetrovno,27,20,50
hladno,28,20,20
snezi,30,0,100
toplo,28,10,20
hladno,3,10,10
dezevno,27,20,0
dezevno,33,20,20
hladno,13,10,20
vetrovno,17,20,50
vetrovno,20,20,50
toplo,23,10,80
snezi,5,0,50
hladno,26,20,70
snezi,11,10,90
dezevno,13,0,90
toplo,34,5,90
vetrovno,5,10,30
dezevno,6,50,80
snezi,10,5,70
toplo,20,0,20
vetrovno,10,50,20
snezi,6,0,50
vetrovno,6,20,20
snezi,32,10,0
hladno,4,50,40
dezevno,31,20,60
toplo,5,10,70
hladno,7,5,80
hladno,27,20,10
hladno,16,10,60
vetrovno,20,50,50
vetrovno,27,5,30
toplo,30,20,90
dezevno,9,0,30
dezevno,1,10,50
vetrovno,6,10,0
vetrovno,8,50,20
hladno,2,50,40
dezevno,26,50,30
hladno,21,0,20
snezi,19,50,20
vetrovno,23,5,100
hladno,10,0,0
vetrovno,1,20,40
hladno,18,0,60
toplo,28,50,70
vetrovno,30,10,30
snezi,25,20,80
snezi,25,20,10
snezi,7,20,0
snezi,21,5,0
snezi,32,50,80
hladno,25,10,50
snezi,0,20,60
hladno,34,20,20
toplo,29,0,20
snezi,0,20,60
toplo,31,5,0
hladno,13,5,20
hladno,16,5,100
toplo,31,10,100
toplo,23,20,80
hladno,22,50,40
vetrovno,25,10,100
toplo,22,50,100
hladno,31,10,60
hladno,3,5,0
snezi,28,10,60
dezevno,26,0,100
hladno,4,0,60
vetrovno,31,0,0
toplo,16,50,70
toplo,30,5,60
hladno,8,10,0
hladno,18,20,100
snezi,33,50,60
snezi,15,0,50
dezevno,0,0,40
toplo,6,20,70
dezevno,24,5,20
vetrovno,33,5,60
dezevno,4,5,20
vetrovno,5,10,20
hladno,11,20,60
vetrovno,13,5,0
dezevno,21,5,50
toplo,8,20,30
toplo,29,20,80
hladno,25,50,80
snezi,15,50,40
dezevno,18,20,50
dezevno,4,20,10
toplo,2,50,90
vetrovno,16,0,60
vetrovno,2,5,50
hladno,12,50,100
hladno,33,50,80
hladno,9,50,30
hladno,0,5,50
vetrovno,8,0,100
hladno,3,20,90
vetrovno,14,20,40
vetrovno,0,20,80
vetrovno,10,0,10
dezevno,26,50,40
toplo,15,10,90
hladno,25,50,40
toplo,2,5,0
vetrovno,26,0,20
hladno,9,5,0
dezevno,15,0,100
vetrovno,30,20,40
vetrovno,33,0,70
snezi,29,10,0
toplo,0,0,60
toplo,27,10,100
toplo,6,5,40
hladno,25,5,100
hladno,6,0,30
dezevno,34,0,0
toplo,3,50,80
snezi,16,20,60
hladno,7,10,60
snezi,10,20,100
dezevno,7,5,20
dezevno,19,50,90
hladno,30,50,40
snezi,16,10,0
toplo,9,0,20
toplo,29,0,20
dezevno,25,0,10
vetrovno,17,10,0
dezevno,20,50,40
dezevno,25,0,50
snezi,27,50,20
dezevno,31,50,40
hladno,9,20,20
toplo,19,0,0
toplo,4,10,80
dezevno,1,50,30
vetrovno,0,10,70
dezevno,7,10,60
hladno,25,20,100
dezevno,19,20,80
toplo,29,10,10
toplo,13,5,70
dezevno,33,5,70
dezevno,8,50,30
snezi,14,0,60
vetrovno,34,20,30
hladno,18,10,100
snezi,17,0,0
snezi,10,10,90
snezi,1,0,10
toplo,31,5,60
vetrovno,13,50,40
dezevno,16,10,10
toplo,20,50,60
dezevno,21,10,50
snezi,30,0,90
snezi,19,20,80
snezi,27,0,60
dezevno,6,0,100
snezi,9,0,100
dezevno,28,50,40
toplo,11,0,30
vetrovno,19,50,0
vetrovno,32,0,40
snezi,6,0,60
dezevno,29,10,0
vetrovno,30,20,50
dezevno,29,20,50
snezi,10,10,50
snezi,17,20,30
vetrovno,33,20,50
toplo,24,20,60
hladno,15,10,80
dezevno,8,20,40
toplo,20,5,0
toplo,9,10,10
dezevno,26,20,70
toplo,11,0,90
hladno,11,10,90
toplo,2,0,80
toplo,14,0,40
vetrovno,9,10,10
vetrovno,16,10,100
hladno,3,5,60
toplo,29,20,80
dezevno,19,50,20
toplo,32,50,40
dezevno,22,5,80
toplo,29,50,70
dezevno,8,50,80
vetrovno,0,0,80
toplo,27,5,60
dezevno,26,20,80
toplo,18,0,0
dezevno,32,0,40
snezi,15,0,20
hladno,14,50,20
vetrovno,1,20,100
vetrovno,11,10,60
vetrovno,24,5,50
snezi,2,10,10
snezi,28,20,30
dezevno,22,10,90
vetrovno,32,10,50
toplo,34,50,30
vetrovno,16,50,20
toplo,20,10,70
toplo,12,5,40
toplo,24,10,80
hladno,33,0,90
hladno,28,0,0
vetrovno,32,5,70
vetrovno,11,0,100
hladno,6,20,30
vetrovno,28,0,50
hladno,2,0,40
dezevno,20,50,20
toplo,22,50,70
hladno,21,0,20
snezi,21,0,70
hladno,6,10,90
toplo,27,10,60
dezevno,24,10,0
vetrovno,11,50,30
vetrovno,27,0,100
hladno,5,20,50
dezevno,11,10,90
vetrovno,27,10,100
hladno,22,50,30
toplo,14,0,40
snezi,6,50,40
snezi,17,10,50
snezi,1,10,60
dezevno,6,50,40
vetrovno,6,50,10
dezevno,18,20,20
toplo,28,50,90
toplo,14,10,30
toplo,29,20,20
vetrovno,34,50,0
dezevno,13,10,50
dezevno,0,20,10
hladno,10,5,20
dezevno,26,5,20
toplo,22,0,100
vetrovno,3,0,40
toplo,7,10,40
hladno,20,0,50
dezevno,4,5,10
vetrovno,7,50,80
snezi,12,20,30
vetrovno,31,0,80
vetrovno,19,10,30
snezi,0,20,30
dezevno,21,10,80
dezevno,4,5,10
dezevno,7,10,20
toplo,29,20,60
vetrovno,32,5,90
dezevno,3,0,60
hladno,14,10,0
dezevno,11,10,70
toplo,2,0,10
dezevno,4,10,70
snezi,12,10,60
toplo,27,5,80
dezevno,25,5,40
vetrovno,6,0,100
dezevno,3,10,100
hladno,33,10,30
dezevno,3,0,90
dezevno,0,50,90
snezi,1,0,40
snezi,13,5,40
snezi,26,0,40
vetrovno,8,10,60
hladno,2,50,0
snezi,14,5,70
snezi,33,10,10
dezevno,24,0,80
vetrovno,33,10,0
dezevno,22,0,50
vetrovno,14,10,30
hladno,27,50,70
toplo,16,0,60
vetrovno,13,50,90
dezevno,16,50,10
snezi,29,20,0
hladno,32,20,90
vetrovno,27,20,100
toplo,20,50,10
snezi,7,0,70
hladno,15,10,50
toplo,2,20,80
snezi,0,5,90
vetrovno,32,10,90
snezi,17,50,80
dezevno,20,10,50
hladno,30,5,20
toplo,26,20,90
hladno,25,20,30
vetrovno,20,0,50
vetrovno,12,20,40
dezevno,13,20,40
hladno,28,10,90
dezevno,23,5,40
toplo,19,50,100
dezevno,21,0,30
vetrovno,2,20,40
toplo,18,50,10
toplo,30,20,20
hladno,4,20,80
dezevno,29,50,70
snezi,19,10,50
hladno,9,5,70
toplo,23,10,80
hladno,3,5,40
toplo,14,0,10
snezi,24,0,30
hladno,28,50,70
snezi,4,50,50
toplo,25,0,30
toplo,15,5,40
dezevno,28,50,70
vetrovno,15,20,60
vetrovno,4,5,100
vetrovno,25,20,100
dezevno,20,20,90
vetrovno,15,5,80
toplo,12,50,70
hladno,30,0,50
dezevno,4,10,20
vetrovno,11,0,70
snezi,5,50,0
toplo,15,10,100
hladno,15,5,20
toplo,32,10,40
hladno,19,20,70
hladno,24,20,80
hladno,14,20,50
toplo,34,10,10
vetrovno,33,10,20
toplo,31,50,10
dezevno,26,50,100
vetrovno,9,5,70
vetrovno,34,0,0
toplo,4,5,90
dezevno,22,0,30
toplo,28,0,70
vetrovno,30,50,20
dezevno,10,20,100
dezevno,8,10,40
snezi,11,5,20
vetrovno,0,0,50
snezi,0,10,80
hladno,22,50,90
toplo,7,0,80
snezi,22,0,50
vetrovno,23,10,10
dezevno,9,10,100
snezi,16,20,30
vetrovno,26,0,80
vetrovno,25,10,40
snezi,3,0,70
toplo,19,20,20
hladno,20,10,10
dezevno,0,20,40
dezevno,33,0,0
dezevno,3,50,30
vetrovno,3,0,50
dezevno,18,0,40
toplo,31,5,90
snezi,0,5,100
vetrovno,12,10,90
dezevno,18,50,10
snezi,6,50,70
hladno,13,5,10
dezevno,9,20,90
vetrovno,3,20,50
toplo,5,50,0
snezi,27,5,90
dezevno,11,50,60
snezi,16,5,30
snezi,12,50,50
snezi,25,20,70
vetrovno,22,50,70
toplo,5,5,60
snezi,26,50,30
dezevno,25,50,40
dezevno,23,20,30
hladno,14,0,30
dezevno,21,5,90
vetrovno,20,20,60
snezi,10,5,40
dezevno,18,0,40
toplo,21,50,40
snezi,3,50,80
hladno,3,10,40
dezevno,5,5,30
vetrovno,18,20,20
dezevno,13,0,100
toplo,20,10,100
vetrovno,21,10,50
dezevno,22,50,80
dezevno,8,20,0
dezevno,5,0,20
snezi,0,5,90
toplo,19,0,0
snezi,5,10,30
vetrovno,18,20,50
dezevno,12,0,40
dezevno,23,20,70
vetrovno,3,10,20
snezi,0,10,30
vetrovno,24,50,30
dezevno,34,0,30
vetrovno,7,5,40
dezevno,29,50,40
vetrovno,17,20,70
hladno,9,10,0
snezi,25,20,10
dezevno,31,5,40
snezi,0,0,70
toplo,3,20,90
hladno,1,20,100
toplo,25,10,90
snezi,5,5,60
hladno,28,5,40
dezevno,32,50,100
dezevno,14,50,0
hladno,28,20,80
snezi,23,20,0
dezevno,4,20,70
vetrovno,16,5,60
hladno,18,20,10
hladno,21,50,40
snezi,12,0,80
snezi,10,50,60
hladno,10,50,90
dezevno,31,20,80
vetrovno,33,20,80
toplo,32,5,40
snezi,14,20,50
toplo,24,20,50
hladno,21,50,80
vetrovno,0,20,90
dezevno,24,5,0
dezevno,26,50,30
vetrovno,29,10,30
hladno,24,10,30
dezevno,15,5,20
snezi,25,0,10
dezevno,31,20,40
vetrovno,6,5,100
toplo,12,50,50
snezi,3,5,80
hladno,20,50,80
hladno,15,5,100
hladno,21,50,30
snezi,4,0,10
toplo,11,0,50
toplo,0,0,100
dezevno,31,10,100
vetrovno,25,20,40
snezi,25,20,60
hladno,1,10,50
vetrovno,34,0,60
vetrovno,30,20,60
vetrovno,0,0,30
snezi,22,50,80
toplo,7,5,80
snezi,3,20,80
hladno,1,5,80
vetrovno,5,50,80
toplo,0,5,20
vetrovno,22,50,0
snezi,32,0,0
snezi,3,50,100
toplo,0,50,60
vetrovno,8,50,20
vetrovno,1,5,80
hladno,29,0,20
toplo,29,20,10
vetrovno,24,0,40
hladno,24,20,0
toplo,33,5,50
hladno,30,5,10
dezevno,29,20,20
hladno,32,20,90
dezevno,5,5,100
hladno,5,5,70
vetrovno,33,20,10
dezevno,32,0,20
dezevno,5,5,100
hladno,4,20,20
dezevno,32,20,90
vetrovno,30,10,50
dezevno,29,0,50
dezevno,34,20,100
dezevno,0,10,10
toplo,15,20,40
hladno,19,50,90
toplo,21,50,60
dezevno,9,0,70
vetrovno,1,20,90
vetrovno,26,10,30
hladno,15,50,80
dezevno,17,20,90
hladno,3,20,80
dezevno,23,0,0
snezi,20,5,20
toplo,31,20,30
dezevno,14,0,20
dezevno,16,10,70
toplo,13,50,40
snezi,1,20,60
snezi,9,20,20
toplo,4,0,50
dezevno,30,10,100
hladno,29,20,30
dezevno,0,50,60
dezevno,8,0,10
dezevno,30,20,20
toplo,22,50,80
hladno,3,50,10
dezevno,34,10,40
snezi,10,10,100
vetrovno,16,0,90
snezi,14,20,70
toplo,24,10,60
hladno,12,20,20
dezevno,22,10,40
dezevno,23,5,40
toplo,25,50,60
toplo,19,0,50
dezevno,18,50,0
dezevno,21,50,90
hladno,34,5,40
dezevno,2,10,70
snezi,34,20,10
hladno,10,50,10
vetrovno,30,50,50
dezevno,12,10,0
vetrovno,18,0,70
snezi,1,5,50
dezevno,16,20,40
vetrovno,34,0,0
vetrovno,34,20,70
dezevno,1,5,70
vetrovno,3,20,90
hladno,33,20,10
snezi,22,5,20
dezevno,16,0,0
toplo,4,10,10
snezi,15,50,70
hladno,7,50,50
vetrovno,21,0,20
toplo,30,5,80
snezi,14,20,20
vetrovno,8,5,70
vetrovno,10,5,80
snezi,1,5,20
snezi,0,10,40
toplo,12,10,40
dezevno,24,20,20
hladno,17,50,80
dezevno,9,20,10
snezi,20,0,60
toplo,9,5,90
vetrovno,5,10,90
dezevno,32,20,90
toplo,16,10,60
vetrovno,23,20,70
dezevno,18,5,50
dezevno,29,5,100
snezi,6,20,90
toplo,32,10,50
vetrovno,31,0,60
dezevno,25,0,80
hladno,23,10,80
toplo,11,20,50
dezevno,24,10,70
snezi,0,0,30
vetrovno,24,20,30
snezi,19,50,20
dezevno,34,5,80
snezi,29,10,40
vetrovno,2,20,70
hladno,2,50,100
snezi,3,0,80
dezevno,29,20,0
vetrovno,26,50,70
vetrovno,32,5,20
snezi,22,50,30
dezevno,27,5,60
dezevno,32,0,30
hladno,24,10,40
toplo,30,20,40
dezevno,22,0,60
toplo,19,5,90
toplo,14,50,90
hladno,15,20,90
toplo,0,5,10
toplo,14,20,10
snezi,27,5,70
snezi,32,50,70
vetrovno,14,50,100
snezi,24,0,30
toplo,33,0,100
toplo,1,20,0
toplo,15,20,80
vetrovno,29,50,60
hladno,8,50,70
dezevno,23,0,60
snezi,9,20,20
snezi,31,20,70
vetrovno,33,0,20
hladno,13,50,20
hladno,0,50,20
vetrovno,2,20,20
hladno,14,50,70
snezi,17,50,20
toplo,2,20,0
dezevno,7,10,20
vetrovno,7,5,20
snezi,11,10,10
vetrovno,20,50,70
hladno,11,10,50
dezevno,4,20,0
snezi,28,0,20
toplo,1,20,30
vetrovno,19,0,40
dezevno,16,0,100
snezi,32,20,60
vetrovno,5,20,20
vetrovno,0,10,50
toplo,5,50,0
dezevno,4,10,70
toplo,18,5,10
toplo,30,0,30
toplo,21,10,60
snezi,22,5,30
dezevno,23,0,80
hladno,16,0,90
snezi,17,0,50
vetrovno,19,20,60
snezi,10,20,80
hladno,17,10,70
snezi,24,50,100
snezi,25,50,30
hladno,8,5,10
vetrovno,27,50,40
snezi,34,5,70
hladno,32,20,0
hladno,20,10,70
toplo,31,10,100
dezevno,34,20,20
snezi,34,20,30
snezi,0,5,60
dezevno,30,0,70
snezi,26,10,30
toplo,4,50,30
dezevno,30,0,50
vetrovno,4,20,80
vetrovno,31,5,0
snezi,26,0,60
vetrovno,9,0,70
hladno,21,50,30
dezevno,20,5,100
snezi,12,10,70
snezi,7,5,20
hladno,34,0,80
hladno,12,10,90
